X,Y,Z
1.100478852397263552e+01,-3.155276708891897641e+01,1.505032956985851023e+01
1.236529286702474906e+01,-3.155276708891897641e+01,2.375352418090845674e+01
1.372579721007684839e+01,-3.155276708891897641e+01,2.042370687047979061e+01
1.508630155312894772e+01,-3.155276708891897641e+01,2.081545926496213639e+01
1.644680589618104705e+01,-3.155276708891897641e+01,2.067762653855913157e+01
1.780731023923316059e+01,-3.155276708891897641e+01,2.517044411221738187e+01
1.916781458228525992e+01,-3.155276708891897641e+01,1.832442516322734960e+01
2.052831892533735925e+01,-3.155276708891897641e+01,4.569950003598685306e+00
2.188882326838945858e+01,-3.155276708891897641e+01,3.019657908269073232e+01
2.324932761144157212e+01,-3.155276708891897641e+01,3.200467043089297192e+01
2.460983195449367145e+01,-3.155276708891897641e+01,3.213197099092359821e+01
2.597033629754577078e+01,-3.155276708891897641e+01,3.092448496731410756e+01
2.733084064059787011e+01,-3.155276708891897641e+01,2.880842532921010957e+01
2.869134498364998365e+01,-3.155276708891897641e+01,2.608245017573386804e+01
3.005184932670208298e+01,-3.155276708891897641e+01,2.301933865547117364e+01
3.141235366975418231e+01,-3.155276708891897641e+01,1.989186991700777085e+01
3.277285801280629585e+01,-3.155276708891897641e+01,1.697282310892938284e+01
3.413336235585839518e+01,-3.155276708891897641e+01,1.453497737982182869e+01
3.549386669891049451e+01,-3.155276708891897641e+01,1.285111187827083334e+01
3.685437104196259384e+01,-3.155276708891897641e+01,1.207363493027563095e+01
3.821487538501470738e+01,-3.155276708891897641e+01,1.215494228477782102e+01
3.957537972806680671e+01,-3.155276708891897641e+01,1.317983081040060256e+01
4.093588407111890604e+01,-3.155276708891897641e+01,1.584746113223081032e+01
4.229638841417100537e+01,-3.155276708891897641e+01,1.568834756967005362e+01
4.365689275722311891e+01,-3.155276708891897641e+01,1.686861562120207481e+01
4.501739710027521824e+01,-3.155276708891897641e+01,1.348164476684427449e+01
4.637790144332731757e+01,-3.155276708891897641e+01,2.082967285318063233e+01
4.773840578637941690e+01,-3.155276708891897641e+01,1.795280524267937139e+01
4.909891012943153044e+01,-3.155276708891897641e+01,1.331209322384647997e+01
5.045941447248362977e+01,-3.155276708891897641e+01,1.797335438190161838e+01
2.841762465660025327e+00,-3.088473187070904302e+01,3.020853670836633498e+01
4.202266808712124657e+00,-3.088473187070904302e+01,1.936878102268610391e+01
5.562771151764223987e+00,-3.088473187070904302e+01,1.921927698984867661e+01
6.923275494816323317e+00,-3.088473187070904302e+01,1.920382917614591989e+01
8.283779837868436857e+00,-3.088473187070904302e+01,1.964512277911105897e+01
9.644284180920536187e+00,-3.088473187070904302e+01,2.018908663404530301e+01
1.100478852397263552e+01,-3.088473187070904302e+01,2.013496823588108242e+01
1.236529286702474906e+01,-3.088473187070904302e+01,2.051499397174073636e+01
1.372579721007684839e+01,-3.088473187070904302e+01,2.067766836896440807e+01
1.508630155312894772e+01,-3.088473187070904302e+01,2.064769281888718666e+01
1.644680589618104705e+01,-3.088473187070904302e+01,2.053473316487210809e+01
1.780731023923316059e+01,-3.088473187070904302e+01,2.115705773720383931e+01
1.916781458228525992e+01,-3.088473187070904302e+01,2.083240003467460610e+01
2.052831892533735925e+01,-3.088473187070904302e+01,2.070047537616753885e+01
2.188882326838945858e+01,-3.088473187070904302e+01,2.156778491884113436e+01
2.324932761144157212e+01,-3.088473187070904302e+01,1.658203993261685127e+01
2.460983195449367145e+01,-3.088473187070904302e+01,7.942017409500214953e+00
2.597033629754577078e+01,-3.088473187070904302e+01,-7.332849914749346887e+00
2.733084064059787011e+01,-3.088473187070904302e+01,4.706025863467742170e+02
2.869134498364998365e+01,-3.088473187070904302e+01,1.587636957122887971e+01
